"Step","algo_type: robust - reward","algo_type: robust - reward__MIN","algo_type: robust - reward__MAX","algo_type: vanilla - reward","algo_type: vanilla - reward__MIN","algo_type: vanilla - reward__MAX","algo_type: r2 - reward","algo_type: r2 - reward__MIN","algo_type: r2 - reward__MAX"
"53","0.5596751861210156","-0.7307886483779711","0.9013003435092454","0.6445058354109574","-0.6433033412132141","0.9031450596924264","0.2470787529581352","-3.3285559856323177","0.9038991673342782"
"54","0.40762943317705286","-2.3759471799221346","0.9020197327442782","0.4802200076461124","-2.0607179936292916","0.9036603681544502","0.17744860236399845","-3.195098743178724","0.9005981479799097"
"55","0.21908507898325486","-3.041626912487411","0.8998005710115283","0.8066492041253995","-0.5525704546817374","0.9059973423990101","0.4332496466564276","-2.304820934621443","0.8971677028099205"
"56","0.5204321589179004","-1.9295106785027476","0.9017805445609325","0.6645922490812232","-2.4649718194263865","0.9062811796237558","0.15622126416564105","-4.864136635968584","0.9045926608419312"
"57","-0.08129707485027113","-5.334869817327032","0.9026034695827189","0.6015023658682158","-1.2879750669052672","0.9067944520428082","0.36739757132009676","-3.4720167533367214","0.9028309183069612"
"58","0.5259336446359056","-2.347175244598418","0.900074712518868","0.6696210565076882","-1.7170057441435427","0.9049678033610123","0.13244172435782242","-2.8057168069407017","0.9035657247260265"
"59","0.5131418528684186","-2.7553854212209674","0.9047204607231245","0.7465155530583132","-1.565406450431218","0.9043115107942562","0.542159599561194","-2.1012000027670896","0.9040931541731876"
"60","0.25633400925723776","-3.6035321895142447","0.9047416457724011","0.8408072849179167","-0.5948901921797745","0.905388142357786","0.5860959986220874","-3.460326470166008","0.9050593570008368"
"61","0.7067753309940884","-2.2126753435385176","0.9049969641289201","0.6410766575889851","-1.7966032143929094","0.9047773945986749","0.23546391960521565","-4.6839228484089395","0.9061561495353686"
"62","0.5363092848892858","-2.432640866195733","0.9068476382241517","0.8942190127644539","0.862640762876464","0.9071586669804932","0.5973704472311232","-2.1867828699283782","0.9040463315629377"
"63","0.4696178184098885","-2.8105987157195","0.9033762506808716","0.8358033927709289","-0.643575123353267","0.9046660090427284","0.7533667716933486","-1.633652058252951","0.9025643053799656"
"64","0.5521308063418652","-2.0000469048158678","0.9047678371941723","0.8423434617970743","-0.6116825989069006","0.9035462736451259","0.5023759019894846","-1.5672493888347319","0.9034102724589004"
"65","0.822584570788944","-0.5942728918379743","0.9091561048637855","0.6688688165344389","-1.1093659014535564","0.9045921933041724","0.5880660647062308","-1.9863993435092349","0.9057433016967147"
"66","0.7886572120051826","-0.7055579978231995","0.9062048031304117","0.8474681088128568","-0.5457002409096554","0.9054924748921955","0.7085842749336391","-0.5589079974723563","0.9077662185334735"
"67","0.7595353881574458","-0.6655701328910231","0.9037467706135325","0.7019336422374204","-0.582285012453724","0.9065133393080534","0.5722147055849643","-4.691330136651469","0.9037097852537395"
"68","0.839236611329124","-0.5624240000538336","0.9076337006602502","0.7532948243266202","-0.5975096933819787","0.9080280001520494","0.7568324215215418","-1.354840564760746","0.9057932464786898"
"69","0.7058026172372156","-0.6580273382846725","0.9083743024712578","0.842881694885295","-0.55584001561949","0.9064945542390784","0.8412910988936357","-0.5373470006473465","0.9039480322050498"
"70","0.8340906521548255","-0.618315128870187","0.9041262689814982","0.8940190618153672","0.843947905803851","0.9079259671549816","0.6982104720459521","-1.8341629698929238","0.90803408846506"
"71","0.8853453120122754","0.6685818231163816","0.903650743842427","0.7354167726777284","-0.6063093978380596","0.9064907730814278","0.8872846776517396","0.7688114022509357","0.9068908514703752"
"72","0.5671837894541317","-1.51642095623867","0.9045764669439644","0.857544304923661","-0.2393123378833668","0.9055678978731582","0.8313743345090087","-0.694801010588829","0.9083771226057407"
"73","0.7609843170551752","-1.3628940210637446","0.9073085122305491","0.8952812415235527","0.8590162364663192","0.9064554205422554","0.7733456389095779","-1.0036684035669112","0.9073719272753356"
"74","0.7964677999497426","-0.6045886215321971","0.904967454933371","0.8493386739719928","-0.5597379526363941","0.9106637585558397","0.787100838414645","-0.6184462739592367","0.9050809213437447"
"75","0.7298138385140611","-1.0421389813371296","0.9071956339018614","0.8929881525330152","0.8624106626434331","0.904274577097657","0.8423892080067634","-0.5617486584413931","0.9070743568403377"
"76","0.8957236575786836","0.8548857147299652","0.9074273579623799","0.8478455998332178","-0.5379187090220302","0.9060842961845985","0.8926277774559529","0.8475014319124317","0.9076743144537756"
"77","0.795733417079498","-0.5801077992728647","0.9071220707203235","0.8953038091240626","0.873287889739681","0.9050484247956799","0.7977657126979082","-0.5626832849707278","0.9070213231612431"
"78","0.8866706882427894","0.5931783924536197","0.9069654519181706","0.794133466364636","-0.6027776780428353","0.9057351792338714","0.8826414971062303","0.45062706141101305","0.9054453498172191"
"79","0.843206520197155","-0.5595466010374277","0.9088743726783828","0.7996571878931186","-0.562355802707778","0.9046039938698295","0.8362038802004725","-0.5382596050013411","0.911679319087223"
"80","0.7939036922974569","-0.6383063431893125","0.904528446649013","0.8000721912319548","-0.5997621755503841","0.9084441883953118","0.8456383000650524","-0.6111233770124733","0.9069654519181706"
"81","0.7868199271946865","-2.3985547939646077","0.9047402442165479","0.8948975765049235","0.8557774274517209","0.908056444399031","0.8945019851336441","0.8375676611642552","0.9052825993506518"
"82","0.7920345464766038","-0.5577835393193006","0.9059905136346225","0.7972249267048566","-0.5826238411864607","0.9069688119477108","0.7871578498240573","-0.8287855052407711","0.9058228224360148"
"83","0.8450315261622967","-0.5772634818577516","0.9036526021580568","0.8476928994647299","-0.5629085913755741","0.9052691310243178","0.7998103961598341","-0.591960531511871","0.9063322785445737"
"84","0.798737659844455","-0.5981006207158474","0.9071036413682372","0.7972994342411097","-0.5767001980826487","0.9097458766002449","0.8458634830508378","-0.5416860513189427","0.9050809213437447"
"85","0.844916681536574","-0.5965173156400558","0.9065629733047501","0.8446521026612007","-0.6016254749099228","0.9104520780838793","0.6695770578272069","-1.4082779793467886","0.9044599341733797"
"86","0.8250507160796576","-1.1079308254751203","0.9098579036011647","0.8934752503650647","0.8418786432014549","0.9029544349706218","0.7193720906634059","-1.468298152171342","0.9072310680422073"
"87","0.7483647870703705","-0.6398354801690347","0.9083207964254063","0.8934894992371579","0.8393942958647997","0.9064594134908226","0.8460996475109009","-0.5659397431032385","0.9059956805540238"
"88","0.8466893915690775","-0.5813749575383368","0.9069229896311326","0.6979399521722452","-0.6339101600071745","0.9076641384163349","0.8461275488060113","-0.5784705497938368","0.9056007861604622"
"89","0.6971534506620375","-0.6859760314952776","0.9069023830055483","0.8425876703090108","-0.6124353350339867","0.9047952011443557","0.8460224125836752","-0.5393166142310983","0.9066705066149238"
"90","0.8007701718380111","-0.5836873290497321","0.906161557267199","0.7994715259641737","-0.6184110545438577","0.9067984672920797","0.8006190960139387","-0.6107275331750259","0.9061897453817973"
"91","0.8455052476164412","-0.6170854255501905","0.907481080178169","0.8394582661091162","-0.7414928226279471","0.9045774844627275","0.8469229433577105","-0.5818101705435568","0.9084504325747923"
"92","0.8969286519070858","0.8338122843265932","0.9065405255470764","0.7773438592176501","-0.5402402004517153","0.9048882266798217","0.8495704042963705","-0.5395415744761046","0.9056007861604622"
"93","0.8446823836258084","-0.5995990963417153","0.904947253147393","0.7968057343409977","-0.5416581462589476","0.9036656768430428","0.8471139330722672","-0.5614569562492018","0.9047519515586184"
"94","0.8944159897223236","0.8399332812434834","0.9079461432433251","0.7519119571994499","-0.5620884944568214","0.9083018571325308","0.7038525294748406","-0.5993688743490064","0.9053905396811424"
"95","0.7765480335394755","-1.2079383373015833","0.9044859584199626","0.8947676177048914","0.8652857666747807","0.9051762935289757","0.892916207742515","0.8573199760425199","0.9038748802223661"
"96","0.8452491953524041","-0.5782433171355474","0.9048877855476218","0.8936822766595649","0.8586755620880382","0.9056857059322745","0.7966104198533249","-0.6117299042259725","0.903594084117688"
"97","0.7984163063296972","-0.5967025231990193","0.9099182396379797","0.8934479116273913","0.8602726278960868","0.9101067117207634","0.7989189886503463","-0.6027053372637965","0.9094730394705478"
"98","0.8984404859210443","0.8374274822289787","0.9078506565896335","0.8917779070338514","0.7974629408588033","0.9052346817670134","0.7991054693604863","-0.5989931424293078","0.9069755530721927"
"99","0.8953764783540188","0.8600220184830486","0.9087251082874231","0.748096142703491","-0.5979160449937345","0.9073629376270095","0.8932919161263075","0.8418931784645692","0.9074143143876193"
"100","0.894715461209547","0.8500163387386301","0.9046870346599889","0.8446212396707933","-0.5443847041522178","0.9075944210497168","0.793470802515462","-0.608890349442504","0.9051523794887799"
"101","0.6496385280778089","-0.6098247934701847","0.9059860421734999","0.7969752876051174","-0.6174167706635154","0.9050181272850731","0.8978496008926136","0.8618815743731643","0.9083291191508094"
"102","0.7468931221551784","-0.643099227051472","0.906213436173692","0.7488975187589674","-0.6032964903057274","0.9068237196069824","0.6512844644063942","-0.583294420626433","0.9044761305096167"
"103","0.7483720021001133","-0.622760203395297","0.9051288661974624","0.788394646710269","-0.822229730046387","0.9104238915127502","0.8284578041938585","-0.557371663563689","0.9059089985767871"
"104","0.7972078978782877","-0.5589573563026126","0.9060150940131347","0.8456281687236104","-0.5419590464149531","0.9041538711736726","0.8973225063340099","0.8732822046496426","0.9075944210497168"
"105","0.7985409232027648","-0.6447059156075017","0.9059231940057475","0.8947467915475895","0.8606743430934816","0.9101067117207634","0.7981358715723299","-0.560224564561814","0.9077792005760549"
"106","0.8392355227822835","-0.6049087454356736","0.9106637585558397","0.8436518192315503","-0.6045886215321971","0.9055473890547332","0.8955740907751762","0.8453066632750749","0.9079226662359927"
"107","0.8283256650717946","-1.0460593943627163","0.905604629578526","0.8987634705756753","0.8816547028773969","0.9075619692868766","0.8966612530576047","0.8110207604340465","0.9082196174872292"
"108","0.7490881686291448","-0.5807628616483078","0.903700979127682","0.841915580117688","-0.6222291915274901","0.9061072532454568","0.898219390426231","0.8753722225254205","0.9055221687175841"
"109","0.8457365432697724","-0.5801475978616787","0.9039939705609654","0.8468114597218227","-0.5623837029387284","0.9068526615078638","0.8463826935637164","-0.5380383098126339","0.906992924104277"
"110","0.8961614644864012","0.8368795030326138","0.9081689653220117","0.7015050854310363","-0.6112869904563674","0.9059350404966509","0.7489178623708035","-0.5831451169595265","0.9073038233190743"
"111","0.7004119351772703","-0.5830660383887306","0.9052825993506518","0.8496331508294765","-0.5632250791813252","0.9046971399156881","0.8459389540684933","-0.6610749331345142","0.9067051105508015"
"112","0.844499848740108","-0.5963806347413558","0.9068917337849893","0.8913609073652186","0.7686105891461721","0.9074361756796909","0.8455044455605554","-0.5834724546125274","0.9050910531038842"
"113","0.7945484576393326","-0.6023159969968717","0.9061561495353686","0.8474759340207362","-0.5639433852897294","0.9073085122305491","0.8487195022048906","-0.5592338731342581","0.9064996505798952"
"114","0.7966736691886691","-0.5568266665975596","0.9041451132921695","0.682062221213971","-0.6148435071873113","0.9058127740902264","0.8976465102712065","0.8627974208625366","0.9056601868511106"
"115","0.8488271918403588","-0.5780771807750504","0.9064554205422554","0.8918700345708642","0.8482296606137486","0.9050052470119433","0.7929729926604328","-0.6031101808728976","0.9090630508566823"
"116","0.7971848951557331","-0.664404630047452","0.9071180005642168","0.8479069623332649","-0.5804983462009253","0.9049723204175819","0.8460993244495987","-0.5568869491205888","0.9043698513917763"
"117","0.8935631167997293","0.8656157113186804","0.9035840614518501","0.8420465751764404","-0.5782158139101448","0.90694186109728","0.8955067671417043","0.8654870645342556","0.904887036723193"
"118","0.8460702794905038","-0.5603771038174249","0.9052850541481727","0.7916496431746921","-0.6254589991598921","0.9086486872402744","0.747187820192852","-0.6383745544366162","0.9035887944010935"
"119","0.8929793046430914","0.8413756009448501","0.9056904898436268","0.8961702283817224","0.8725588948142025","0.9066512776559912","0.8491593796818864","-0.5383653329386066","0.9082230186863511"
"120","0.8442503035987161","-0.5986950945212255","0.9041642445317116","0.7959897604775683","-0.6081143946587777","0.9094806363977843","0.7993080504915545","-0.5986950945212255","0.9061224341221176"
"121","0.8440795547268156","-0.5961648326433661","0.9086026209401177","0.7990025608196143","-0.5842158558588433","0.906136235891751","0.8492751218822111","-0.5495093323669834","0.9044704265572265"
"122","0.8961866592209021","0.8657560624542606","0.9081104655841614","0.8456410716002125","-0.5976982130087567","0.906161557267199","0.8951455643318404","0.8580728463140088","0.9050572987624915"
